text,text_clean,label_id,category,panjang_karakter,jumlah_kata,ada_angka,semua_kapital,jumlah_kata_kunci_cocok,kata_makanan,kata_minuman,kata_transportasi,kata_belanja,kata_tagihan,kata_hiburan,kata_kesehatan
ES JERUK,es jeruk,1,minuman,8,2,0,1,1,0,1,0,0,0,0,0
PKT AYAM,pkt ayam,0,makanan,8,2,0,1,1,1,0,0,0,0,0,0
Kimchi P,kimchi p,7,lain_lain,8,2,0,0,0,0,0,0,0,0,0,0
Fre ice grentea,fre ice grentea,1,minuman,15,3,0,0,2,0,1,0,0,1,0,0
THAI ICED TEA,thai iced tea,1,minuman,13,3,0,1,1,0,1,0,0,0,0,0
Viet Milk Coffee,viet milk coffee,1,minuman,16,3,0,0,2,1,1,0,0,0,0,0
Ayam Bakar,ayam bakar,0,makanan,10,2,0,0,1,1,0,0,0,0,0,0
Nasi Putih,nasi putih,0,makanan,10,2,0,0,1,1,0,0,0,0,0,0
Nila Bakar/Goreng,nila bakar goreng,0,makanan,17,3,0,0,1,1,0,0,0,0,0,0
Sop Gurame,sop gurame,0,makanan,10,2,0,0,1,1,0,0,0,0,0,0
Teh Poci,teh poci,1,minuman,8,2,0,0,1,0,1,0,0,0,0,0
NASI + AYAM KATSU TER...,nasi ayam katsu ter,0,makanan,19,4,0,1,1,1,0,0,0,0,0,0
TEH PANAS,teh panas,1,minuman,9,2,0,1,1,0,1,0,0,0,0,0
ES TEH MANIS,es teh manis,1,minuman,12,3,0,1,1,0,1,0,0,0,0,0
CH CORDON BLEU NASI,ch cordon bleu nasi,0,makanan,19,4,0,1,1,1,0,0,0,0,0,0
BLACK PEPPER MEATBALL,black pepper meatball,0,makanan,21,3,0,1,1,1,0,0,0,0,0,0
GREEN TEA WITH CRUMBLE,green tea with crumble,1,minuman,22,4,0,1,1,0,1,0,0,0,0,0
EARL GREY MILK TEA,earl grey milk tea,1,minuman,18,4,0,1,2,1,1,0,0,0,0,0
ORIGINAL BREWED TEA,original brewed tea,1,minuman,19,3,0,1,1,0,1,0,0,0,0,0
4005-Maple glazed,4005 maple glazed,7,lain_lain,17,3,1,0,0,0,0,0,0,0,0,0
6001-Plastic Bag Small,6001 plastic bag small,3,belanja,22,4,1,0,1,0,0,0,1,0,0,0
QUARTO FORMANGGI PASTA,quarto formanggi pasta,0,makanan,22,3,0,1,1,1,0,0,0,0,0,0
- TICKET CP,ticket cp,2,transportasi,9,2,0,1,2,0,0,1,0,0,1,0
RB. COKLAT BAR,rb coklat bar,1,minuman,13,3,0,1,1,0,1,0,0,0,0,0
RB. CREPES TUNA,rb crepes tuna,1,minuman,14,3,0,1,2,1,1,0,0,0,0,0
RB. SISIR PANDAN,rb sisir pandan,7,lain_lain,15,3,0,1,0,0,0,0,0,0,0,0
KING DEAL FISH,king deal fish,0,makanan,14,3,0,1,1,1,0,0,0,0,0,0
UDANG RE,udang re,0,makanan,8,2,0,1,1,1,0,0,0,0,0,0
AYM GR JUN NJAN,aym gr jun njan,7,lain_lain,15,4,0,1,0,0,0,0,0,0,0,0
SAPO TH SEAFOOD,sapo th seafood,7,lain_lain,15,3,0,1,0,0,0,0,0,0,0,0
POCAI 3,pocai 3,7,lain_lain,7,2,1,1,0,0,0,0,0,0,0,0
GURAME FILLET M ASAM MANIS,gurame fillet m asam manis,7,lain_lain,26,5,0,1,0,0,0,0,0,0,0,0
BIHUN GORENG JJ,bihun goreng jj,0,makanan,15,3,0,1,1,1,0,0,0,0,0,0
ICED TEA,iced tea,1,minuman,8,2,0,1,1,0,1,0,0,0,0,0
NASI PUTIH,nasi putih,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
BUBUR UNGU,bubur ungu,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
SENDOK BEBEK,sendok bebek,3,belanja,12,2,0,1,1,0,0,0,1,0,0,0
WAJIK,wajik,7,lain_lain,5,1,0,1,0,0,0,0,0,0,0,0
CENTIK MANIS,centik manis,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
PLASTIK SEDANG,plastik sedang,3,belanja,14,2,0,1,1,0,0,0,1,0,0,0
1001-Choco Bun,1001 choco bun,0,makanan,14,3,1,0,1,1,0,0,0,0,0,0
2001-Hokkaido Milk Toast,2001 hokkaido milk toast,1,minuman,24,4,1,0,2,1,1,0,0,0,0,0
6002-Plastic Bag Medium,6002 plastic bag medium,3,belanja,23,4,1,0,1,0,0,0,1,0,0,0
Ice t grentea,ice t grentea,1,minuman,13,3,0,0,2,0,1,0,0,1,0,0
S-Lemon Macchiato,s lemon macchiato,1,minuman,17,3,0,0,1,0,1,0,0,0,0,0
1032-Double Cheddar,1032 double cheddar,7,lain_lain,19,3,1,0,0,0,0,0,0,0,0,0
CRISPY CHOCO,crispy choco,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
Pepenero Pastel,pepenero pastel,7,lain_lain,15,2,0,0,0,0,0,0,0,0,0,0
MEGA,mega,7,lain_lain,4,1,0,1,0,0,0,0,0,0,0,0
A.MINERAL BOTOL,a mineral botol,1,minuman,15,3,0,1,4,1,1,1,1,0,0,0
AMBUSH DBL CHS BURG,ambush dbl chs burg,2,transportasi,19,4,0,1,1,0,0,1,0,0,0,0
AMBUSH CHS BURGER,ambush chs burger,0,makanan,17,3,0,1,2,1,0,1,0,0,0,0
TAKE AWAY CHARGE,take away charge,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
VANDOOLEN,vandoolen,7,lain_lain,9,1,0,1,0,0,0,0,0,0,0,0
PLASTIK 25,plastik 25,3,belanja,10,2,1,1,1,0,0,0,1,0,0,0
"Chicken HCC, 1Pcs",chicken hcc 1pcs,0,makanan,16,3,1,0,1,1,0,0,0,0,0,0
Colonel Burger,colonel burger,0,makanan,14,2,0,0,1,1,0,0,0,0,0,0
Ketoprak,ketoprak,0,makanan,8,1,0,0,1,1,0,0,0,0,0,0
AREM - AREM,arem arem,7,lain_lain,9,2,0,1,0,0,0,0,0,0,0,0
LEMPER,lemper,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
PLASTIK KECIL,plastik kecil,3,belanja,13,2,0,1,1,0,0,0,1,0,0,0
OMA NASI KUNING CAKALANG MANI,oma nasi kuning cakalang mani,0,makanan,29,5,0,1,1,1,0,0,0,0,0,0
Cuka Apel Moringa,cuka apel moringa,7,lain_lain,17,3,0,0,0,0,0,0,0,0,0,0
GONG GIBAB,gong gibab,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
BO SSAM,bo ssam,7,lain_lain,7,2,0,1,0,0,0,0,0,0,0,0
HAEMUL DENJANG JJIGAE,haemul denjang jjigae,7,lain_lain,21,3,0,1,0,0,0,0,0,0,0,0
MULNAENGMYO N,mulnaengmyo n,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
MINI CHOCO,mini choco,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
DumDum Thai Iced Green Tea,dumdum thai iced green tea,1,minuman,26,5,0,0,1,0,1,0,0,0,0,0
H COUPLE SEA,h couple sea,7,lain_lain,12,3,0,1,0,0,0,0,0,0,0,0
BURGER CHIC DECKER,burger chic decker,0,makanan,18,3,0,1,1,1,0,0,0,0,0,0
Home Made Lemonade,home made lemonade,1,minuman,18,3,0,0,1,0,1,0,0,0,0,0
KOREAN CURRY M,korean curry m,7,lain_lain,14,3,0,1,0,0,0,0,0,0,0,0
ALMOND CHOCO CREAMCHEESE,almond choco creamcheese,1,minuman,24,3,0,1,1,0,1,0,0,0,0,0
Nutella Cheese,nutella cheese,1,minuman,14,2,0,0,1,0,1,0,0,0,0,0
Toblerone BanCheese,toblerone bancheese,1,minuman,19,2,0,0,1,0,1,0,0,0,0,0
CHOCO PUFF,choco puff,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
CREAMY BEEF CLS FTC,creamy beef cls ftc,0,makanan,19,4,0,1,1,1,0,0,0,0,0,0
NEW ORIENTAL CHK RICE,new oriental chk rice,1,minuman,21,4,0,1,2,1,1,0,0,0,0,0
LIPTON PITCHER,lipton pitcher,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
SC/P SUPER SUPREME,sc p super supreme,7,lain_lain,18,4,0,1,0,0,0,0,0,0,0,0
CB/P BLACK PEPP BEEF,cb p black pepp beef,0,makanan,20,5,0,1,1,1,0,0,0,0,0,0
1,1,7,lain_lain,1,1,1,0,0,0,0,0,0,0,0,0
Large *Plastik Kcl,large plastik kcl,3,belanja,17,3,0,0,1,0,0,0,1,0,0,0
BASO TAHU BIHUN,baso tahu bihun,0,makanan,15,3,0,1,1,1,0,0,0,0,0,0
ICED TT,iced tt,1,minuman,7,2,0,1,1,0,1,0,0,0,0,0
Jamur Crispy,jamur crispy,3,belanja,12,2,0,0,1,0,0,0,1,0,0,0
Sambel Kecap,sambel kecap,7,lain_lain,12,2,0,0,0,0,0,0,0,0,0,0
Es Teh,es teh,1,minuman,6,2,0,0,1,0,1,0,0,0,0,0
Sweet Plum Potato,sweet plum potato,7,lain_lain,17,3,0,0,0,0,0,0,0,0,0,0
CHO MOUSSE,cho mousse,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
GRAPE JELLY,grape jelly,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
Kopi Susu Sudirman,kopi susu sudirman,1,minuman,18,3,0,0,1,0,1,0,0,0,0,0
Chocolate Twist,chocolate twist,1,minuman,15,2,0,0,1,0,1,0,0,0,0,0
RTD Kunyit,rtd kunyit,7,lain_lain,10,2,0,0,0,0,0,0,0,0,0,0
Tepung Jagung,tepung jagung,7,lain_lain,13,2,0,0,0,0,0,0,0,0,0,0
SHOPPING BAG ROTI'O' 370/M,shopping bag roti o 370 m,0,makanan,25,6,1,1,2,1,0,0,1,0,0,0
KFC Winger HC,kfc winger hc,7,lain_lain,13,3,0,0,0,0,0,0,0,0,0,0
Rice,rice,1,minuman,4,1,0,0,2,1,1,0,0,0,0,0
THAI ICED TEA (L),thai iced tea l,1,minuman,15,4,0,1,1,0,1,0,0,0,0,0
PL. MUFFIN BLUEBERRY,pl muffin blueberry,7,lain_lain,19,3,0,1,0,0,0,0,0,0,0,0
RB. ABON AYAM,rb abon ayam,0,makanan,12,3,0,1,1,1,0,0,0,0,0,0
RB. COKLAT COFFEE,rb coklat coffee,1,minuman,16,3,0,1,1,0,1,0,0,0,0,0
RB. RED BEAN,rb red bean,7,lain_lain,11,3,0,1,0,0,0,0,0,0,0,0
ROTI KEJU COKLAT,roti keju coklat,1,minuman,16,3,0,1,2,1,1,0,0,0,0,0
ROTI MAHKOTA/RING,roti mahkota ring,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
ROTI KACANG MERAH,roti kacang merah,0,makanan,17,3,0,1,1,1,0,0,0,0,0,0
ROTI COKLAT,roti coklat,1,minuman,11,2,0,1,2,1,1,0,0,0,0,0
CHICKEN KATSU,chicken katsu,0,makanan,13,2,0,1,1,1,0,0,0,0,0,0
TORI NASU HASAMI AGE,tori nasu hasami age,0,makanan,20,4,0,1,1,1,0,0,0,0,0,0
Mineral Water (S),mineral water s,1,minuman,15,3,0,0,3,1,1,0,0,1,0,0
Pocky Chocolate,pocky chocolate,1,minuman,15,2,0,0,1,0,1,0,0,0,0,0
Nerds Strw Grape,nerds strw grape,7,lain_lain,16,3,0,0,0,0,0,0,0,0,0,0
Nerds Trop Punch,nerds trop punch,7,lain_lain,16,3,0,0,0,0,0,0,0,0,0,0
Nerds Watermelon,nerds watermelon,1,minuman,16,2,0,0,2,0,1,0,0,1,0,0
TRIPPLE CHEESE,tripple cheese,1,minuman,14,2,0,1,1,0,1,0,0,0,0,0
RALPH BREAKS THE INTERNET : WR,ralph breaks the internet wr,4,tagihan,28,5,0,1,1,0,0,0,0,1,0,0
PIS COK KEJU,pis cok keju,7,lain_lain,12,3,0,1,0,0,0,0,0,0,0,0
COKLAT KEJU,coklat keju,1,minuman,11,2,0,1,1,0,1,0,0,0,0,0
BANANA KISMIS,banana kismis,0,makanan,13,2,0,1,1,1,0,0,0,0,0,0
BOTOL(MOMOGI BOTOL KACA ASI),botol momogi botol kaca asi,2,transportasi,27,5,0,1,2,0,0,1,1,0,0,0
SPECTRA BREAST DISPOSABLE PADS (IRIS) / BP-0001 (BREASTPADS),spectra breast disposable pads iris bp 0001 breastpads,7,lain_lain,54,8,1,1,0,0,0,0,0,0,0,0
MUSTELA BABY OIL 100ML,mustela baby oil 100ml,7,lain_lain,22,4,1,1,0,0,0,0,0,0,0,0
SATE PADANG,sate padang,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
GULAI CUMI,gulai cumi,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
DENDENG BALADO,dendeng balado,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
KERUPUK KULIT,kerupuk kulit,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
RENDANG DAGING,rendang daging,0,makanan,14,2,0,1,1,1,0,0,0,0,0,0
GULAI HATI,gulai hati,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
MUJAIR BAKAR,mujair bakar,1,minuman,12,2,0,1,3,1,1,0,0,1,0,0
GULAI OTAK,gulai otak,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
AYAM BAKAR,ayam bakar,0,makanan,10,2,0,1,1,1,0,0,0,0,0,0
SAMBAL TRI BELAH,sambal tri belah,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
LALAP SEGAR,lalap segar,7,lain_lain,11,2,0,1,0,0,0,0,0,0,0,0
AYAM PENYET,ayam penyet,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
AYAM GORENG,ayam goreng,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
AYAM POP,ayam pop,0,makanan,8,2,0,1,1,1,0,0,0,0,0,0
GULAI TUNJANG,gulai tunjang,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
TEH,teh,1,minuman,3,1,0,1,1,0,1,0,0,0,0,0
TERONG BELANDA,terong belanda,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
TEH TELUR,teh telur,1,minuman,9,2,0,1,1,0,1,0,0,0,0,0
PUDING,puding,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
ISI CAMPUR,isi campur,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
AQUA BOTOL,aqua botol,1,minuman,10,2,0,1,3,0,1,1,1,0,0,0
Popcorn Salt Bucket,popcorn salt bucket,7,lain_lain,19,3,0,0,0,0,0,0,0,0,0,0
Berry Many-Low (P),berry many low p,7,lain_lain,16,4,0,0,0,0,0,0,0,0,0,0
500 days of summer (P),500 days of summer p,7,lain_lain,20,5,1,0,0,0,0,0,0,0,0,0
sun kissed (P),sun kissed p,7,lain_lain,12,3,0,0,0,0,0,0,0,0,0,0
PLASTIC BAG,plastic bag,3,belanja,11,2,0,1,1,0,0,0,1,0,0,0
SAUSAGE DONUT,sausage donut,0,makanan,13,2,0,1,1,1,0,0,0,0,0,0
CHOCO DONUT PRETZEL,choco donut pretzel,0,makanan,19,3,0,1,1,1,0,0,0,0,0,0
CAPTAIN HOOK,captain hook,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
PIRATES TREASURE,pirates treasure,1,minuman,16,2,0,1,1,0,1,0,0,0,0,0
GREEN TEA LATTE (L),green tea latte l,1,minuman,17,4,0,1,1,0,1,0,0,0,0,0
2011-Whole wheat Katamari,2011 whole wheat katamari,7,lain_lain,25,4,1,0,0,0,0,0,0,0,0,0
CHEESE JOHN,cheese john,1,minuman,11,2,0,1,1,0,1,0,0,0,0,0
APPLE CREAMCHEESE PASTRY,apple creamcheese pastry,1,minuman,24,3,0,1,1,0,1,0,0,0,0,0
PAKET DOSIRAK 3,paket dosirak 3,7,lain_lain,15,3,1,1,0,0,0,0,0,0,0,0
PAKET CHICKEN 3,paket chicken 3,0,makanan,15,3,1,1,1,1,0,0,0,0,0,0
JAPCHE,japche,7,lain_lain,6,1,0,1,0,0,0,0,0,0,0,0
KOREAN LEMONADE,korean lemonade,1,minuman,15,2,0,1,1,0,1,0,0,0,0,0
KOREAN COLD TEA,korean cold tea,1,minuman,15,3,0,1,1,0,1,0,0,0,0,0
PAKET BULGOGI 3,paket bulgogi 3,7,lain_lain,15,3,1,1,0,0,0,0,0,0,0,0
BANANA MLK+MATCHA PU,banana mlk matcha pu,1,minuman,20,4,0,1,1,0,1,0,0,0,0,0
KRN FRIED CHICKN HNY,krn fried chickn hny,0,makanan,20,4,0,1,1,1,0,0,0,0,0,0
TAKOYAKI 12PCS,takoyaki 12pcs,7,lain_lain,14,2,1,1,0,0,0,0,0,0,0,0
KP BRANDING L,kp branding l,7,lain_lain,13,3,0,1,0,0,0,0,0,0,0,0
M/POKO STD XXL5,m poko std xxl5,7,lain_lain,15,4,1,1,0,0,0,0,0,0,0,0
FOOT 6,foot 6,7,lain_lain,6,2,1,1,0,0,0,0,0,0,0,0
CIPAIN PATCH 4S,cipain patch 4s,7,lain_lain,15,3,1,1,0,0,0,0,0,0,0,0
ALMOND CREAM CHEESE,almond cream cheese,1,minuman,19,3,0,1,1,0,1,0,0,0,0,0
Silky Green Tea,silky green tea,1,minuman,15,3,0,0,1,0,1,0,0,0,0,0
Silky Hazelnut,silky hazelnut,7,lain_lain,14,2,0,0,0,0,0,0,0,0,0,0
REDBEAN BREAD,redbean bread,7,lain_lain,13,2,0,1,0,0,0,0,0,0,0,0
YOGURT STRAWBERRY,yogurt strawberry,7,lain_lain,17,2,0,1,0,0,0,0,0,0,0,0
ICED White,iced white,1,minuman,10,2,0,0,1,0,1,0,0,0,0,0
Mexican Baked Rice,mexican baked rice,1,minuman,18,3,0,0,2,1,1,0,0,0,0,0
Large 1,large 1,7,lain_lain,7,2,1,0,0,0,0,0,0,0,0,0
Pastry Keju,pastry keju,7,lain_lain,11,2,0,0,0,0,0,0,0,0,0,0
Round Wagyu (1gr),round wagyu 1gr,7,lain_lain,15,3,1,0,0,0,0,0,0,0,0,0
Wagyu Rice Box,wagyu rice box,1,minuman,14,3,0,0,2,1,1,0,0,0,0,0
BUNCIS MUDA TE,buncis muda te,0,makanan,14,3,0,1,1,1,0,0,0,0,0,0
DEPT02,dept02,7,lain_lain,6,1,1,1,0,0,0,0,0,0,0,0
KUE PILUS ASIN,kue pilus asin,7,lain_lain,14,3,0,1,0,0,0,0,0,0,0,0
KACANG MEDAN,kacang medan,7,lain_lain,12,2,0,1,0,0,0,0,0,0,0,0
Mineral Water,mineral water,1,minuman,13,2,0,0,3,1,1,0,0,1,0,0
ALMOND CHOCO CREAM CHEESE,almond choco cream cheese,1,minuman,25,4,0,1,1,0,1,0,0,0,0,0
CHOCO CUSTARD PASTRY,choco custard pastry,7,lain_lain,20,3,0,1,0,0,0,0,0,0,0,0
CARAMEL PASTRY,caramel pastry,7,lain_lain,14,2,0,1,0,0,0,0,0,0,0,0
ORIGINAL,original,7,lain_lain,8,1,0,1,0,0,0,0,0,0,0,0
APPLE CINN,apple cinn,7,lain_lain,10,2,0,1,0,0,0,0,0,0,0,0
NUMER CANDLE NO.1,numer candle no 1,7,lain_lain,17,4,1,1,0,0,0,0,0,0,0,0
NUMER CANDLE NO.2,numer candle no 2,7,lain_lain,17,4,1,1,0,0,0,0,0,0,0,0
GANACHE MOUSSE PIECE,ganache mousse piece,0,makanan,20,3,0,1,1,1,0,0,0,0,0,0
4002-Chocolate Orange Peel,4002 chocolate orange peel,1,minuman,26,4,1,0,1,0,1,0,0,0,0,0
ORIGINAL NO SALT,original no salt,7,lain_lain,16,3,0,1,0,0,0,0,0,0,0,0
WALL'S FEAST CKLT.65,wall s feast cklt 65,7,lain_lain,20,5,1,1,0,0,0,0,0,0,0,0
CMPN TROPICANA.CHO75,cmpn tropicana cho75,7,lain_lain,20,3,1,1,0,0,0,0,0,0,0,0
MAGNUM WHT ALMND 80,magnum wht almnd 80,7,lain_lain,19,4,1,1,0,0,0,0,0,0,0,0
S-Ovaltine Macchiat,s ovaltine macchiat,7,lain_lain,19,3,0,0,0,0,0,0,0,0,0,0
S-Hazelnut Milk Tea,s hazelnut milk tea,1,minuman,19,4,0,0,2,1,1,0,0,0,0,0
SAM DA SOO MINERAL WATER,sam da soo mineral water,1,minuman,24,5,0,1,3,1,1,0,0,1,0,0
ES CHOCO GREEN TEA,es choco green tea,1,minuman,18,4,0,1,1,0,1,0,0,0,0,0
IKAN GURAME MED SOP IKAN,ikan gurame med sop ikan,0,makanan,24,5,0,1,1,1,0,0,0,0,0,0
CUMI GR JUNJAN =*MEDIUM*=,cumi gr junjan medium,0,makanan,21,4,0,1,1,1,0,0,0,0,0,0
CUMI GR TEPUNG =*MEDIUM*=,cumi gr tepung medium,0,makanan,21,4,0,1,1,1,0,0,0,0,0,0
AGSIO TH PC JMR =*MEDIUM*=,agsio th pc jmr medium,7,lain_lain,22,5,0,1,0,0,0,0,0,0,0,0
POCAI BWG PUTIH =*MEDIUM*=,pocai bwg putih medium,7,lain_lain,22,4,0,1,0,0,0,0,0,0,0,0
LUMPIA UDG PREM =*MEDIUM*=,lumpia udg prem medium,7,lain_lain,22,4,0,1,0,0,0,0,0,0,0,0
HOT TEA,hot tea,1,minuman,7,2,0,1,1,0,1,0,0,0,0,0
AQUA,aqua,1,minuman,4,1,0,1,1,0,1,0,0,0,0,0
KOPI SUSU,kopi susu,1,minuman,9,2,0,1,1,0,1,0,0,0,0,0
NASI GORENG,nasi goreng,0,makanan,11,2,0,1,1,1,0,0,0,0,0,0
BAKPIA KACANG H,bakpia kacang h,7,lain_lain,15,3,0,1,0,0,0,0,0,0,0,0
Gado-Gado,gado gado,0,makanan,9,2,0,0,1,1,0,0,0,0,0,0
Roast Beef Crepes,roast beef crepes,1,minuman,17,3,0,0,2,1,1,0,0,0,0,0
Cheezemania,cheezemania,7,lain_lain,11,1,0,0,0,0,0,0,0,0,0,0
Mamamia,mamamia,0,makanan,7,1,0,0,1,1,0,0,0,0,0,0
M-Ice Cream Milk Te,m ice cream milk te,1,minuman,19,5,0,0,2,1,1,0,0,0,0,0
1069-ROTI KEJU COKLAT,1069 roti keju coklat,1,minuman,21,4,1,1,2,1,1,0,0,0,0,0
1037-ROTI MAHKOTA/RING,1037 roti mahkota ring,0,makanan,22,4,1,1,1,1,0,0,0,0,0,0
1022-ROTI KACANG MERAH,1022 roti kacang merah,0,makanan,22,4,1,1,1,1,0,0,0,0,0,0
1001-ROTI COKLAT,1001 roti coklat,1,minuman,16,3,1,1,2,1,1,0,0,0,0,0
OCHA,ocha,7,lain_lain,4,1,0,1,0,0,0,0,0,0,0,0
CHIC NAMBAN BENTO,chic namban bento,7,lain_lain,17,3,0,1,0,0,0,0,0,0,0,0
Fish Ball,fish ball,0,makanan,9,2,0,0,1,1,0,0,0,0,0,0
Fried Siomay,fried siomay,0,makanan,12,2,0,0,1,1,0,0,0,0,0,0
ICED CM,iced cm,1,minuman,7,2,0,1,1,0,1,0,0,0,0,0
Puyo 6 (Package),puyo 6 package,7,lain_lain,14,3,1,0,0,0,0,0,0,0,0,0
Kupon 9,kupon 9,7,lain_lain,7,2,1,0,0,0,0,0,0,0,0,0
Kupon 1,kupon 1,7,lain_lain,7,2,1,0,0,0,0,0,0,0,0,0
LARGE ICED LEMON TEA,large iced lemon tea,1,minuman,20,4,0,1,1,0,1,0,0,0,0,0
RTD Relaxing Drink,rtd relaxing drink,1,minuman,18,3,0,0,1,0,1,0,0,0,0,0
RTD Rosella Aloevera,rtd rosella aloevera,7,lain_lain,20,3,0,0,0,0,0,0,0,0,0,0
