text,label_id,category,sumber
Pie,0,makanan,synthetic
Sandwich,0,makanan,synthetic
Materai,7,lain_lain,synthetic
Bayar Kos,4,tagihan,synthetic
Teh Botol,1,minuman,synthetic
Chamomile,1,minuman,synthetic
SPBU,2,transportasi,synthetic
Ikat Pinggang,3,belanja,synthetic
Iuran Organisasi,7,lain_lain,synthetic
CANVA PRO,4,tagihan,synthetic
Tas,3,belanja,synthetic
Spaghetti,0,makanan,synthetic
Wrap,0,makanan,synthetic
Kebab,0,makanan,synthetic
Flashdisk,3,belanja,synthetic
1xIndiHome,4,tagihan,synthetic
Top Up Mobile Legends,5,hiburan,synthetic
CGV,5,hiburan,synthetic
Smoothie,1,minuman,synthetic
tiket masuk,5,hiburan,synthetic
Mouse,3,belanja,synthetic
Patungan,7,lain_lain,synthetic
Laundry,7,lain_lain,synthetic
Biaya Pendaftaran,7,lain_lain,synthetic
3xAdministrasi,4,tagihan,synthetic
Nasi Goren,0,makanan,synthetic
gojek,2,transportasi,synthetic
KOPI SUSU KOLONEL,1,minuman,synthetic
Gojek,2,transportasi,synthetic
Buku Catatan,3,belanja,synthetic
Jajan,7,lain_lain,synthetic
Zakat,7,lain_lain,synthetic
Blazer,3,belanja,synthetic
Busway,2,transportasi,synthetic
2xVitamin D,6,kesehatan,synthetic
Canva Pro,4,tagihan,synthetic
Sparkling Water,1,minuman,synthetic
Lasagna,0,makanan,synthetic
tiket wisata,5,hiburan,synthetic
Spotify,4,tagihan,synthetic
TEMPE GORENG,0,makanan,synthetic
Commuter Line,2,transportasi,synthetic
3xKacamata,6,kesehatan,synthetic
Kopi Susu,1,minuman,synthetic
CARPACCIO,0,makanan,synthetic
GrabBike,2,transportasi,synthetic
Cinepolis,5,hiburan,synthetic
SANDAL,3,belanja,synthetic
Tiket Pesawat,2,transportasi,synthetic
DOKTER GIGI,6,kesehatan,synthetic
MaximBike,2,transportasi,synthetic
Sunscreen,3,belanja,synthetic
Telu Ceplok,0,makanan,synthetic
Nasi Goreng Kampung,0,makanan,synthetic
Makan Siang,0,makanan,synthetic
Sampo,3,belanja,synthetic
1 Kebun Binatang,5,hiburan,synthetic
Sausage Bread,0,makanan,synthetic
1 Buku Kuliah,3,belanja,synthetic
Topi,3,belanja,synthetic
Softener,3,belanja,synthetic
Kwetiau,0,makanan,synthetic
Lens Kontak,6,kesehatan,synthetic
Biaya Periksa,6,kesehatan,synthetic
Steam,5,hiburan,synthetic
Ongkir,7,lain_lain,synthetic
cold brew,1,minuman,synthetic
Ganti Oli,2,transportasi,synthetic
Pertalite,2,transportasi,synthetic
1xSoto,0,makanan,synthetic
Buku Kuliah,3,belanja,synthetic
1xWiFi,4,tagihan,synthetic
Disney Plus,4,tagihan,synthetic
TAGIHAN AIR,4,tagihan,synthetic
Bowling,5,hiburan,synthetic
Kimia Farma,6,kesehatan,synthetic
Energen,1,minuman,synthetic
sweater,3,belanja,synthetic
Iuran Kela,7,lain_lain,synthetic
Bihun Goreng,0,makanan,synthetic
le mineral,1,minuman,synthetic
Tiket MRT,2,transportasi,synthetic
Anteraja,7,lain_lain,synthetic
Air PAM,4,tagihan,synthetic
Kopi Dalgona,1,minuman,synthetic
atm,7,lain_lain,synthetic
OJEKONLINE,2,transportasi,synthetic
Keyboard,3,belanja,synthetic
buku tulis,3,belanja,synthetic
Rapid Test,6,kesehatan,synthetic
DAMRI,2,transportasi,synthetic
Earl Grey,1,minuman,synthetic
Lab Kesehatan,6,kesehatan,synthetic
Power Bank,3,belanja,synthetic
Strudel,0,makanan,synthetic
Iuran,4,tagihan,synthetic
2xBetadine,6,kesehatan,synthetic
Iuran Kelas,7,lain_lain,synthetic
Ibuprofen,6,kesehatan,synthetic
Internet Bulanan,4,tagihan,synthetic
WiFi,4,tagihan,synthetic
GOJEK,2,transportasi,synthetic
Makan Malam,0,makanan,synthetic
Pulsa,4,tagihan,synthetic
Tike Konser,5,hiburan,synthetic
PARKIR MOBIL,2,transportasi,synthetic
Tteokbokki,0,makanan,synthetic
XXI,5,hiburan,synthetic
Kontrakan,4,tagihan,synthetic
Es Teh,1,minuman,synthetic
Top Up Game,5,hiburan,synthetic
CEK DARAH,6,kesehatan,synthetic
Tokopedia,3,belanja,synthetic
Cabut Gigi,6,kesehatan,synthetic
Chicken Wing,0,makanan,synthetic
Milk Tea,1,minuman,synthetic
Parfait,0,makanan,synthetic
Cardigan,3,belanja,synthetic
Stempel,7,lain_lain,synthetic
1 Pertamax,2,transportasi,synthetic
Noodle,0,makanan,synthetic
UANG KOS,4,tagihan,synthetic
resep dokter,6,kesehatan,synthetic
Iced Latte,1,minuman,synthetic
wifi,4,tagihan,synthetic
OBAT SAKIT KEPALA,6,kesehatan,synthetic
bubble tea,1,minuman,synthetic
2xTiket Konser,5,hiburan,synthetic
Potong Rambut,7,lain_lain,synthetic
nasi ayam,0,makanan,synthetic
TRANSJAKARTA,2,transportasi,synthetic
Rapid Tes,6,kesehatan,synthetic
spidol,3,belanja,synthetic
Isi Pulsa,4,tagihan,synthetic
UC PUBG,5,hiburan,synthetic
Obat Maag,6,kesehatan,synthetic
Tiket Wisata,5,hiburan,synthetic
Crostini,0,makanan,synthetic
Retribusi Parkir,2,transportasi,synthetic
Chicke Wing,0,makanan,synthetic
Es Campur,1,minuman,synthetic
POTONG RAMBUT,7,lain_lain,synthetic
nasi goreng,0,makanan,synthetic
Tambal Gigi,6,kesehatan,synthetic
Kabel Data,3,belanja,synthetic
1xBusway,2,transportasi,synthetic
2xResep Dokter,6,kesehatan,synthetic
IndiHome,4,tagihan,synthetic
Apple Music,4,tagihan,synthetic
Pertamax,2,transportasi,synthetic
pcr,6,kesehatan,synthetic
1xTiket Masuk,5,hiburan,synthetic
Tiket Konser,5,hiburan,synthetic
1 Kuota Internet,4,tagihan,synthetic
Klinik,6,kesehatan,synthetic
3xKontrakan,4,tagihan,synthetic
Isi Bensin,2,transportasi,synthetic
KERETA API,2,transportasi,synthetic
kopi susu kolonel,1,minuman,synthetic
Tempura,0,makanan,synthetic
Mobil Online,2,transportasi,synthetic
Stabilo,3,belanja,synthetic
Pasta Gigi,3,belanja,synthetic
Mineral Water,1,minuman,synthetic
Cat Akrilik,5,hiburan,synthetic
YouTube Premium,4,tagihan,synthetic
Pensil,3,belanja,synthetic
KOPI GULA AREN,1,minuman,synthetic
biaya admin,4,tagihan,synthetic
ALAT MUSIK,5,hiburan,synthetic
BAJU,3,belanja,synthetic
3xKopi Aren,1,minuman,synthetic
Jilid,7,lain_lain,synthetic
Mizone,1,minuman,synthetic
Commute Line,2,transportasi,synthetic
top up game,5,hiburan,synthetic
GoCar,2,transportasi,synthetic
3xBelanja Online,3,belanja,synthetic
Tahu Ikan Oma Giok,0,makanan,synthetic
Air Mineral,1,minuman,synthetic
Lain-lain,7,lain_lain,synthetic
Carrot Cake,0,makanan,synthetic
Suplemen,6,kesehatan,synthetic
TOMATO SOUP,0,makanan,synthetic
OjekOnline,2,transportasi,synthetic
1xBoba,1,minuman,synthetic
grabexpress,7,lain_lain,synthetic
Kopi Latte,1,minuman,synthetic
2 Transfer,7,lain_lain,synthetic
Lampu,3,belanja,synthetic
MOBIL ONLINE,2,transportasi,synthetic
2 Betadine,6,kesehatan,synthetic
1 Iced Latte,1,minuman,synthetic
1 Bioskop,5,hiburan,synthetic
Dompet,3,belanja,synthetic
BIAYA ADMIN,4,tagihan,synthetic
pertamax,2,transportasi,synthetic
Badminton,5,hiburan,synthetic
Spidol,3,belanja,synthetic
BPJS KESEHATAN,4,tagihan,synthetic
Mie Goren,0,makanan,synthetic
GANTI OLI,2,transportasi,synthetic
MAXIMBIKE,2,transportasi,synthetic
LAB KESEHATAN,6,kesehatan,synthetic
Adobe,4,tagihan,synthetic
Lensa Kontak,6,kesehatan,synthetic
SEDEKAH,7,lain_lain,synthetic
krl,2,transportasi,synthetic
1 GrabExpress,7,lain_lain,synthetic
Map Plastik,3,belanja,synthetic
2 Sampo,3,belanja,synthetic
Nasi Ayam,0,makanan,synthetic
Vanilla Latte,1,minuman,synthetic
Paracetamol,6,kesehatan,synthetic
BETADINE,6,kesehatan,synthetic
komik,5,hiburan,synthetic
Betadine,6,kesehatan,synthetic
tagihan telepon,4,tagihan,synthetic
Tagihan HP,4,tagihan,synthetic
nonton film,5,hiburan,synthetic
OBAT DIARE,6,kesehatan,synthetic
Deodoran,3,belanja,synthetic
2xLemonade,1,minuman,synthetic
Le Mineral,1,minuman,synthetic
apple music,4,tagihan,synthetic
Kebun Binatang,5,hiburan,synthetic
NASI LIWET,0,makanan,synthetic
OJEK,2,transportasi,synthetic
Cap Cay,0,makanan,synthetic
Jam Tanga,3,belanja,synthetic
Tagihan Telepon,4,tagihan,synthetic
ZAKAT,7,lain_lain,synthetic
GELANG,3,belanja,synthetic
Eclair,0,makanan,synthetic
Cold Brew,1,minuman,synthetic
DOKTER,6,kesehatan,synthetic
Cat Akrili,5,hiburan,synthetic
Puskesmas,6,kesehatan,synthetic
Greek Salad,0,makanan,synthetic
Bayar Listrik,4,tagihan,synthetic
Tahu Goreng,0,makanan,synthetic
Kopi Espresso,1,minuman,synthetic
Tiket Bus,2,transportasi,synthetic
Mocha,1,minuman,synthetic
Ramyeon,0,makanan,synthetic
Amoxicillin,6,kesehatan,synthetic
Pisang Goreng,0,makanan,synthetic
SPIDOL,3,belanja,synthetic
Fitness,5,hiburan,synthetic
FORMULIR,7,lain_lain,synthetic
Tiket Bioskop,5,hiburan,synthetic
Batagor,0,makanan,synthetic
Nugget,0,makanan,synthetic
Detergen,3,belanja,synthetic
minyak kayu putih,6,kesehatan,synthetic
Nasi Bakar,0,makanan,synthetic
NASI GORENG SPESIAL,0,makanan,synthetic
Jus Semangka,1,minuman,synthetic
kacamata,3,belanja,synthetic
LENSA KONTAK,6,kesehatan,synthetic
Tempe Goreng,0,makanan,synthetic
Sarapan,0,makanan,synthetic
2 Paket Data,4,tagihan,synthetic
Ruma Sakit,6,kesehatan,synthetic
ATM,7,lain_lain,synthetic
BENSIN,2,transportasi,synthetic
Uang Kos,4,tagihan,synthetic
NACHOS,0,makanan,synthetic
ANTERAJA,7,lain_lain,synthetic
DAKGALBI,0,makanan,synthetic
Penggaris,3,belanja,synthetic
Nasi Goreng,0,makanan,synthetic
PLN,4,tagihan,synthetic
Biay Pendaftaran,7,lain_lain,synthetic
2 Kopi Tubruk,1,minuman,synthetic
KARAOKE,5,hiburan,synthetic
Isi Puls,4,tagihan,synthetic
Administrasi,4,tagihan,synthetic
Antasida,6,kesehatan,synthetic
Sweater,3,belanja,synthetic
First Media,4,tagihan,synthetic
2 Mocha,1,minuman,synthetic
Celana,3,belanja,synthetic
Nasi Putih,0,makanan,synthetic
Profiterole,0,makanan,synthetic
Legalisir,7,lain_lain,synthetic
Cek Darah,6,kesehatan,synthetic
BBM,2,transportasi,synthetic
Tagihan Air,4,tagihan,synthetic
Roti Bakar,0,makanan,synthetic
Chocolate Cake,0,makanan,synthetic
BULGOGI,0,makanan,synthetic
BIAYA PERIKSA,6,kesehatan,synthetic
1xSunscreen,3,belanja,synthetic
latte,1,minuman,synthetic
1xTenis,5,hiburan,synthetic
karaoke,5,hiburan,synthetic
WAHANA,5,hiburan,synthetic
Taman Bermain,5,hiburan,synthetic
noodle,0,makanan,synthetic
1 Vanilla Latte,1,minuman,synthetic
Dat Internet,4,tagihan,synthetic
Kopi Susu Kolonel,1,minuman,synthetic
Pulpen,3,belanja,synthetic
PCR,6,kesehatan,synthetic
tagihan listrik,4,tagihan,synthetic
busway,2,transportasi,synthetic
1xIsi Pulsa,4,tagihan,synthetic
Softlens,6,kesehatan,synthetic
Poton Rambut,7,lain_lain,synthetic
Ovaltine,1,minuman,synthetic
1xJNE,7,lain_lain,synthetic
TAKSI ONLINE,2,transportasi,synthetic
Jam Tangan,3,belanja,synthetic
Nasi Box,0,makanan,synthetic
3xFutsal,5,hiburan,synthetic
Cuci Baju,7,lain_lain,synthetic
2xBaterai,3,belanja,synthetic
paket hemat,0,makanan,synthetic
Espresso,1,minuman,synthetic
Disne Plus,4,tagihan,synthetic
MANGO DRINK,1,minuman,synthetic
Lavende Latte,1,minuman,synthetic
3xParkir Motor,2,transportasi,synthetic
Kola Renang,5,hiburan,synthetic
Tiket Event,5,hiburan,synthetic
Obat Diar,6,kesehatan,synthetic
Macchiato,1,minuman,synthetic
2xNescafe,1,minuman,synthetic
Buku Novel,5,hiburan,synthetic
jilid,7,lain_lain,synthetic
Setrika,7,lain_lain,synthetic
Pembalut,3,belanja,synthetic
Toast,0,makanan,synthetic
AIR PAM,4,tagihan,synthetic
PROFITEROLE,0,makanan,synthetic
Iced American,1,minuman,synthetic
nasi goreng kampung,0,makanan,synthetic
1 GrabCar,2,transportasi,synthetic
Resep Dokter,6,kesehatan,synthetic
Americano,1,minuman,synthetic
Pameran,5,hiburan,synthetic
Multivitamin,6,kesehatan,synthetic
1xTransfer,7,lain_lain,synthetic
Iura Organisasi,7,lain_lain,synthetic
1 Fitness,5,hiburan,synthetic
2 Biaya Transfer,7,lain_lain,synthetic
Tambal Gig,6,kesehatan,synthetic
puskesmas,6,kesehatan,synthetic
Netflix,4,tagihan,synthetic
Rumah Sakit,6,kesehatan,synthetic
cireng,0,makanan,synthetic
guardian,6,kesehatan,synthetic
Club Soda,1,minuman,synthetic
Lychee Drink,1,minuman,synthetic
Kop Susu Kolonel,1,minuman,synthetic
Tagihan Listrik,4,tagihan,synthetic
paket data,4,tagihan,synthetic
PATUNGAN,7,lain_lain,synthetic
Obat Batu,6,kesehatan,synthetic
IURAN,4,tagihan,synthetic
Parkir,2,transportasi,synthetic
Air Kelapa,1,minuman,synthetic
chicken wing,0,makanan,synthetic
Map Plasti,3,belanja,synthetic
Donut,0,makanan,synthetic
GoSend,7,lain_lain,synthetic
dress,3,belanja,synthetic
GRABBIKE,2,transportasi,synthetic
Salon,7,lain_lain,synthetic
2xMaximBike,2,transportasi,synthetic
Masker,6,kesehatan,synthetic
NASI PADANG,0,makanan,synthetic
Jus Mangga,1,minuman,synthetic
Ayam Penyet,0,makanan,synthetic
Peach Tea,1,minuman,synthetic
Lumpia,0,makanan,synthetic
2 Shopee,3,belanja,synthetic
1xCukur,7,lain_lain,synthetic
3xStempel,7,lain_lain,synthetic
hotdog,0,makanan,synthetic
3xPatungan,7,lain_lain,synthetic
Pasta,0,makanan,synthetic
3xFrappe,1,minuman,synthetic
salon,7,lain_lain,synthetic
gosend,7,lain_lain,synthetic
Jaket,3,belanja,synthetic
es cendol,1,minuman,synthetic
multivitamin,6,kesehatan,synthetic
Jus Alpukat,1,minuman,synthetic
ONGKOS KIRIM,7,lain_lain,synthetic
asuransi,4,tagihan,synthetic
parkir mobil,2,transportasi,synthetic
CHOCOLATE CAKE,0,makanan,synthetic
PDAM,4,tagihan,synthetic
Telur Ceplok,0,makanan,synthetic
Mie Goreng,0,makanan,synthetic
Biay Kos,4,tagihan,synthetic
3xBaterai,3,belanja,synthetic
YouTub Premium,4,tagihan,synthetic
Buku Tulis,3,belanja,synthetic
JAM TANGAN,3,belanja,synthetic
Hotdog,0,makanan,synthetic
Data Internet,4,tagihan,synthetic
OBAT FLU,6,kesehatan,synthetic
MAXIM,2,transportasi,synthetic
Es Cendol,1,minuman,synthetic
ramune,1,minuman,synthetic
Brown Sugar,1,minuman,synthetic
jam tangan,3,belanja,synthetic
damri,2,transportasi,synthetic
3xGorengan,0,makanan,synthetic
2 Buku Tulis,3,belanja,synthetic
2xMasker,6,kesehatan,synthetic
2xPulsa,4,tagihan,synthetic
3xBayar Listrik,4,tagihan,synthetic
2 Peppermint Tea,1,minuman,synthetic
KRL,2,transportasi,synthetic
TAGIHAN LISTRIK,4,tagihan,synthetic
Parkir Motor,2,transportasi,synthetic
3xTagihan Telepon,4,tagihan,synthetic
Ongkos Kirim,7,lain_lain,synthetic
Pocari Sweat,1,minuman,synthetic
1 Sedekah,7,lain_lain,synthetic
KACAMATA,6,kesehatan,synthetic
MOUSE,3,belanja,synthetic
Matcha,1,minuman,synthetic
Shopee,3,belanja,synthetic
GoRide,2,transportasi,synthetic
Komik,5,hiburan,synthetic
1xTelur Ceplok,0,makanan,synthetic
Teh Tarik,1,minuman,synthetic
Milkshake,1,minuman,synthetic
ORANGE JUICE,1,minuman,synthetic
3xTiket Wisata,5,hiburan,synthetic
Bensin,2,transportasi,synthetic
Pizza Toast,0,makanan,synthetic
3xPulpen,3,belanja,synthetic
2 Multivitamin,6,kesehatan,synthetic
Vanilla Latt,1,minuman,synthetic
2xPocari Sweat,1,minuman,synthetic
Fotokopi,7,lain_lain,synthetic
TAGIHAN HP,4,tagihan,synthetic
Kuota Internet,4,tagihan,synthetic
Apotek,6,kesehatan,synthetic
Hoodie,3,belanja,synthetic
MRT,2,transportasi,synthetic
2 Muffin,0,makanan,synthetic
Tomato Soup,0,makanan,synthetic
milk tea,1,minuman,synthetic
Brown Sugar Latte,1,minuman,synthetic
Grape Juice,1,minuman,synthetic
LAUNDRY,7,lain_lain,synthetic
PIZZA TOAST,0,makanan,synthetic
Onion Ring,0,makanan,synthetic
Nasi Liwet,0,makanan,synthetic
Orange Juice,1,minuman,synthetic
Yakult,1,minuman,synthetic
TOKEN LISTRIK,4,tagihan,synthetic
kopi espresso,1,minuman,synthetic
Telur Dadar,0,makanan,synthetic
3xNasi Goreng Spesial,0,makanan,synthetic
Minyak Kayu Putih,6,kesehatan,synthetic
Tart,0,makanan,synthetic
PULSA,4,tagihan,synthetic
Rawon,0,makanan,synthetic
hazelnut latte,1,minuman,synthetic
tempura,0,makanan,synthetic
Dokter Gigi,6,kesehatan,synthetic
SWEATER,3,belanja,synthetic
Servis Motor,2,transportasi,synthetic
Obat Diare,6,kesehatan,synthetic
Taro Latte,1,minuman,synthetic
Tiramisu,0,makanan,synthetic
futsal,5,hiburan,synthetic
GUARDIAN,6,kesehatan,synthetic
2 Biaya Periksa,6,kesehatan,synthetic
1 MaximBike,2,transportasi,synthetic
Mikrolet,2,transportasi,synthetic
mikrolet,2,transportasi,synthetic
Skincare,3,belanja,synthetic
Caramel Macchiato,1,minuman,synthetic
Obat Saki Kepala,6,kesehatan,synthetic
Tiket Masuk,5,hiburan,synthetic
Es Kopi Susu,1,minuman,synthetic
Gado-Gado,0,makanan,synthetic
2xFormulir,7,lain_lain,synthetic
baju,3,belanja,synthetic
tagihan wifi,4,tagihan,synthetic
Kopi Aren,1,minuman,synthetic
GOOD DAY,1,minuman,synthetic
2xBuku Kuliah,3,belanja,synthetic
anteraja,7,lain_lain,synthetic
Nasi Ayam Geprek,0,makanan,synthetic
maximbike,2,transportasi,synthetic
2 Spring Roll,0,makanan,synthetic
Cukur,7,lain_lain,synthetic
ADMINISTRASI,4,tagihan,synthetic
Japchae,0,makanan,synthetic
1 Ikat Pinggang,3,belanja,synthetic
Salad,0,makanan,synthetic
ongkos kirim,7,lain_lain,synthetic
1xAsuransi,4,tagihan,synthetic
indihome,4,tagihan,synthetic
Lemonade,1,minuman,synthetic
Billiard,5,hiburan,synthetic
ayam geprek,0,makanan,synthetic
1xFitness,5,hiburan,synthetic
Kemeja,3,belanja,synthetic
GYM,5,hiburan,synthetic
nasi liwet,0,makanan,synthetic
MaximCar,2,transportasi,synthetic
ANTASIDA,6,kesehatan,synthetic
Kopi Gula Aren,1,minuman,synthetic
LEMONADE,1,minuman,synthetic
3xMango Drink,1,minuman,synthetic
obat batuk,6,kesehatan,synthetic
keyboard,3,belanja,synthetic
caramel macchiato,1,minuman,synthetic
Nasi Goren Spesial,0,makanan,synthetic
Buku Catata,3,belanja,synthetic
PAKET HEMAT,0,makanan,synthetic
Lemon Tea,1,minuman,synthetic
Top Up PUBG,5,hiburan,synthetic
2 Tiramisu,0,makanan,synthetic
Strawberry Drink,1,minuman,synthetic
2xHazelnut Latte,1,minuman,synthetic
jus jeruk,1,minuman,synthetic
1xOngkir,7,lain_lain,synthetic
Obat Sakit Kepala,6,kesehatan,synthetic
ONGKIR,7,lain_lain,synthetic
Belanja Online,3,belanja,synthetic
KOPI CAPPUCCINO,1,minuman,synthetic
Takoyaki,0,makanan,synthetic
Nasi Bebek,0,makanan,synthetic
Folder,3,belanja,synthetic
stempel,7,lain_lain,synthetic
biscuit,0,makanan,synthetic
softener,3,belanja,synthetic
Paket Data,4,tagihan,synthetic
token listrik,4,tagihan,synthetic
Biaya Transfer,7,lain_lain,synthetic
Ramune,1,minuman,synthetic
CUKUR,7,lain_lain,synthetic
2 Lavender Latte,1,minuman,synthetic
1 Sandal,3,belanja,synthetic
Vitamin D,6,kesehatan,synthetic
1xEspresso,1,minuman,synthetic
1xNasi Goreng Seafood,0,makanan,synthetic
TIKET WISATA,5,hiburan,synthetic
Tiket Pesawa,2,transportasi,synthetic
2xWahana,5,hiburan,synthetic
Parkir Mobil,2,transportasi,synthetic
cgv,5,hiburan,synthetic
Oba Flu,6,kesehatan,synthetic
rapid test,6,kesehatan,synthetic
FLASHDISK,3,belanja,synthetic
ganti oli,2,transportasi,synthetic
Ayam Geprek,0,makanan,synthetic
1 Dokter Gigi,6,kesehatan,synthetic
materai,7,lain_lain,synthetic
BBQ Chicken,0,makanan,synthetic
TOP UP MOBILE LEGENDS,5,hiburan,synthetic
Sepatu,3,belanja,synthetic
Resep Dokte,6,kesehatan,synthetic
pameran,5,hiburan,synthetic
Sedekah,7,lain_lain,synthetic
tol,2,transportasi,synthetic
Kupat Tahu,0,makanan,synthetic
3xIkan Bakar,0,makanan,synthetic
Mozzarella Stick,0,makanan,synthetic
1xRetribusi Parkir,2,transportasi,synthetic
iuran kelas,7,lain_lain,synthetic
1xSepatu,3,belanja,synthetic
Gnocchi,0,makanan,synthetic
Udon,0,makanan,synthetic
fotokopi,7,lain_lain,synthetic
frappe,1,minuman,synthetic
2 Cappuccino,1,minuman,synthetic
3xBayar Kos,4,tagihan,synthetic
Tiket Keret,2,transportasi,synthetic
Konsultas Dokter,6,kesehatan,synthetic
1xMikrolet,2,transportasi,synthetic
PASTA,0,makanan,synthetic
onion ring,0,makanan,synthetic
Sorbet,0,makanan,synthetic
JUS MELON,1,minuman,synthetic
Kopi Espress,1,minuman,synthetic
2 Taksi Online,2,transportasi,synthetic
2xIsi Pulsa,4,tagihan,synthetic
Baya Listrik,4,tagihan,synthetic
top up pubg,5,hiburan,synthetic
kertas hvs,3,belanja,synthetic
SOFTENER,3,belanja,synthetic
3xSabun,3,belanja,synthetic
rumah sakit,6,kesehatan,synthetic
jajan,7,lain_lain,synthetic
grabcar,2,transportasi,synthetic
FRAPPE,1,minuman,synthetic
Kabe Data,3,belanja,synthetic
tisu,3,belanja,synthetic
Biscuit,0,makanan,synthetic
macchiato,1,minuman,synthetic
Dress,3,belanja,synthetic
1xKabel Data,3,belanja,synthetic
3xBowling,5,hiburan,synthetic
Hazelnu Latte,1,minuman,synthetic
Oba Diare,6,kesehatan,synthetic
3xLegalisir,7,lain_lain,synthetic
2 Token Listrik,4,tagihan,synthetic
Jus Jambu,1,minuman,synthetic
mocha,1,minuman,synthetic
Bruschetta,0,makanan,synthetic
Croissant,0,makanan,synthetic
ES BUAH,1,minuman,synthetic
2xObat Diare,6,kesehatan,synthetic
Rok,3,belanja,synthetic
3xMasker,6,kesehatan,synthetic
RAMUNE,1,minuman,synthetic
KETOPRAK,0,makanan,synthetic
Pudding,0,makanan,synthetic
Cek Dara,6,kesehatan,synthetic
lasagna,0,makanan,synthetic
Nasi Goreng Seafood,0,makanan,synthetic
2xWiFi,4,tagihan,synthetic
Ramen,0,makanan,synthetic
Beef Bowl,0,makanan,synthetic
MUFFIN,0,makanan,synthetic
FIRST MEDIA,4,tagihan,synthetic
ikan goreng,0,makanan,synthetic
Top Up FF,5,hiburan,synthetic
laundry,7,lain_lain,synthetic
1xPameran,5,hiburan,synthetic
1 Nasi Kuning,0,makanan,synthetic
bioskop,5,hiburan,synthetic
sepatu,3,belanja,synthetic
Spring Rol,0,makanan,synthetic
